Time,Open,High,Low,Latest,Volume
1/4/21,375.31,375.45,364.82,368.79,110210800
1/5/21,368.1,372.5,368.05,371.33,66426200
1/6/21,369.71,376.98,369.12,373.55,107997600
1/7/21,376.1,379.9,375.91,379.1,68766800
1/8/21,380.59,381.49,377.1,381.26,71677200
1/11/21,377.85,380.58,377.7189,378.69,51176700
1/12/21,378.89,379.86,376.36,378.77,52547700
1/13/21,378.69,380.86,377.85,379.79,45303600
1/14/21,380.59,381.13,378.1,378.46,49989100
1/15/21,376.72,377.58,373.7,375.7,107159904
1/19/21,378.34,379.23,376.75,378.65,51233300
1/20/21,381.11,384.79,380.69,383.89,61836000
1/21/21,384.49,384.95,383.25,384.24,47955800
1/22/21,382.25,384.1256,381.835,382.88,52136900
1/25/21,383.67,384.77,378.46,384.39,70401904
1/26/21,385.41,385.85,383.54,383.79,42665200
1/27/21,380.22,380.32,372.01,374.41,123351000
1/28/21,376.36,381.93,375.89,377.63,94198096
1/29/21,375.63,376.67,368.27,370.07,126765104
2/1/21,373.72,377.34,370.376,376.23,75817600
2/2/21,379.65,383.22,376.3181,381.55,64450600
2/3/21,382.43,383.7,380.48,381.85,52427000
2/4/21,382.96,386.24,381.9655,386.19,47142500
2/5/21,388.2,388.47,386.1444,387.71,48669700
2/8/21,389.27,390.56,388.35,390.51,38365100
2/9/21,389.61,390.89,389.17,390.25,35551000
2/10/21,392.12,392.28,387.5,390.08,59154300
2/11/21,391.24,391.69,388.1,390.71,42913200
2/12/21,389.85,392.9,389.77,392.64,50593200
2/16/21,393.96,394.17,391.53,392.3,50972300
2/17/21,390.42,392.66,389.33,392.39,52806600
2/18/21,389.59,391.515,387.74,390.72,59712700
2/19/21,392.07,392.38,389.55,390.03,83240896
2/22/21,387.06,389.62,386.74,387.03,67414096
2/23/21,384.66,388.945,380.2,387.5,107284096
2/24/21,386.33,392.23,385.27,391.77,72433904
2/25/21,390.41,391.88,380.7789,382.33,146670496
2/26/21,384.35,385.58,378.23,380.36,152701600
3/1/21,385.59,390.92,380.572,389.58,105348800
3/2/21,389.82,390.07,386,386.54,79595296
3/3/21,385.79,386.83,381.31,381.42,119940200
3/4/21,381.22,384,371.88,376.7,183432992
3/5/21,380.46,384.76,372.64,383.63,152039600
3/8/21,384.66,387.68,381.42,381.72,123149200
3/9/21,385.85,389.91,381.7299,387.17,113633504
3/10/21,389.69,391.4,388.1702,389.58,109899400
3/11/21,392.23,395.65,391.74,393.53,86245000
3/12/21,392.07,394.21,391.2,394.06,64653500
3/15/21,394.33,396.685,392.03,396.41,73592304
3/16/21,397.07,397.83,395.08,395.91,73722496
3/17/21,394.53,398.12,393.3,397.26,97959200
3/18/21,394.48,396.72,390.75,391.48,115349104
3/19/21,389.88,391.569,387.15,389.48,113624400
3/22/21,390.03,394.07,389.97,392.59,73778600
3/23/21,391.91,393.46,388.66,389.5,90686496
3/24/21,391,392.75,387.47,387.52,97588600
3/25/21,385.98,390.55,383.9,389.7,116128600
3/26/21,390.93,396.41,390.29,395.98,114409104
3/29/21,394.4,396.75,392.81,395.78,108107600
3/30/21,394.42,395.45,393.02,394.73,76262200
3/31/21,395.34,398,395.31,396.33,112734200
4/1/21,398.4,400.67,398.18,400.61,99682800
4/5/21,403.46,406.94,403.38,406.36,91684704
4/6/21,405.76,407.24,405.4,406.12,62020900
4/7/21,405.94,406.96,405.45,406.59,55836200
4/8/21,407.93,408.58,406.93,408.52,57863100
4/9/21,408.39,411.67,408.26,411.49,61104500
4/12/21,410.85,411.93,410.2,411.64,56704900
4/13/21,411.53,413.529,411.12,412.86,56550900
4/14/21,412.83,413.96,410.87,411.45,61659900
4/15/21,413.74,416.16,413.69,415.87,60229800
4/16/21,417.25,417.91,415.73,417.26,82037200
4/19/21,416.26,416.74,413.79,415.21,78498400
4/20/21,413.91,415.0859,410.59,412.17,81851800
4/21/21,411.51,416.29,411.36,416.07,66792900
4/22/21,415.89,416.78,411.13,412.27,97582704
4/23/21,412.87,418.25,412.79,416.74,73276096
4/26/21,417.44,418.22,416.8111,417.61,52182300
4/27/21,417.93,418.14,416.3,417.52,51303000
4/28/21,417.81,419.01,416.9,417.4,51238800
4/29/21,420.32,420.72,416.44,420.06,78544304
4/30/21,417.63,418.54,416.34,417.3,85527000
5/3/21,419.43,419.84,417.665,418.2,68128200
5/4/21,416.07,416.6,411.67,415.62,101591104
5/5/21,417.38,417.63,414.94,415.75,60284600
5/6/21,415.83,419.21,413.675,419.07,74321296
5/7/21,419.89,422.815,419.16,422.12,67733696
5/10/21,422.5,422.74,417.81,417.94,81852400
5/11/21,413.1,415.27,410.06,414.21,116887904
5/12/21,411.23,412.59,404,405.41,134811008
5/13/21,407.07,412.35,407.02,410.28,106393904
5/14/21,413.21,417.49,413.18,416.58,82201600
5/17/21,415.39,416.39,413.36,415.52,65129200
5/18/21,415.8,416.06,411.77,411.94,59810200
5/19/21,406.92,411.05,405.33,410.86,106467000
5/20/21,411.8,416.625,411.67,415.28,78022200
5/21/21,416.87,418.2,414.45,414.94,76578600
5/24/21,417.34,420.32,417.08,419.17,51376700
5/25/21,420.33,420.71,417.62,418.24,57451300
5/26/21,418.87,419.61,417.76,419.07,43088600
5/27/21,420.17,420.72,418.9851,419.29,56707600
5/28/21,420.97,421.25,419.79,420.04,58520100
6/1/21,422.57,422.72,419.2,419.67,54216600
6/2/21,420.37,421.23,419.29,420.33,49097000
6/3/21,417.85,419.99,416.28,418.77,58138700
6/4/21,420.75,422.92,418.8422,422.6,55938700
6/7/21,422.59,422.78,421.19,422.19,51555000
6/8/21,423.11,423.21,420.32,422.28,47134200
6/9/21,423.18,423.26,421.41,421.65,48436300
6/10/21,422.96,424.63,421.55,423.61,51020100
6/11/21,424.2,424.43,422.82,424.31,45570800
6/14/21,424.43,425.37,423.1,425.26,42358400
6/15/21,425.42,425.46,423.54,424.48,51508500
6/16/21,424.63,424.87,419.92,422.11,80386000
6/17/21,421.67,423.02,419.32,421.97,90949600
6/18/21,417.09,417.8281,414.7,414.92,118676304
6/21/21,416.8,421.06,415.93,420.86,72822000
6/22/21,420.85,424,420.08,423.11,57700300
6/23/21,423.19,424.05,422.51,422.6,49445400
6/24/21,424.89,425.55,424.62,425.1,45110200
6/25/21,425.9,427.0943,425.55,426.61,58129500
6/28/21,427.17,427.65,425.89,427.47,53159500
6/29/21,427.88,428.56,427.13,427.7,35970500
6/30/21,427.21,428.78,427.18,428.06,64827800
7/1/21,428.87,430.6,428.8,430.43,53441000
7/2/21,431.67,434.1,430.5218,433.72,57697600
7/6/21,433.78,434.01,430.01,432.93,68710400
7/7/21,433.66,434.76,431.51,434.46,63549400
7/8/21,428.78,431.73,427.52,430.92,97595200
7/9/21,432.53,435.84,430.714,435.52,76238496
7/12/21,435.43,437.35,434.97,437.08,52889500
7/13/21,436.24,437.84,435.31,435.59,52911300
7/14/21,437.4,437.92,434.91,436.24,64130300
7/15/21,434.81,435.53,432.72,434.75,55126300
7/16/21,436.01,436.06,430.92,431.34,75874600
7/19/21,426.19,431.4089,421.97,424.97,147987008
7/20/21,425.68,432.42,424.83,431.06,99608096
7/21/21,432.34,434.7,431.0111,434.55,64724300
7/22/21,434.74,435.72,433.69,435.46,47878500
7/23/21,437.52,440.3,436.79,439.94,63766600
7/26/21,439.31,441.03,439.26,441.02,43719100
7/27/21,439.91,439.94,435.99,439.01,67397104
7/28/21,439.68,440.3,437.31,438.83,52472300
7/29/21,439.815,441.8,439.81,440.65,47435300
7/30/21,437.91,440.06,437.77,438.51,68951200
8/2/21,440.34,440.93,437.21,437.59,58783200
8/3/21,438.44,441.28,436.1,441.15,58053800
8/4/21,439.78,441.1243,438.73,438.98,46732200
8/5/21,440.22,441.85,439.88,441.76,38969600
8/6/21,442.1,442.94,441.8,442.49,46930000
8/9/21,442.46,442.795,441.31,442.13,41222500
8/10/21,442.61,443.44,441.88,442.68,43339200
8/11/21,443.82,443.882,442.62,443.78,44034300
8/12/21,443.62,445.2572,442.66,445.11,38942400
8/13/21,445.59,445.94,445.07,445.92,39470200
8/16/21,444.53,447.11,442.87,446.97,73930800
8/17/21,444.24,444.96,440.85,444.04,92673904
8/18/21,442.96,444.625,438.92,439.18,89351904
8/19/21,436.27,441.14,436.12,439.86,92812200
8/20/21,440.23,443.71,439.71,443.36,72008704
