Time,Open,High,Low,Latest,Volume
1/3/00,148.25,148.25,143.88,145.44,8164300
1/4/00,143.53,144.06,139.63,139.75,8089800
1/5/00,139.94,141.53,137.25,140,12177900
1/6/00,139.63,141.5,137.75,137.75,6227200
1/7/00,140.31,145.75,140.06,145.75,8066500
1/10/00,146.25,146.91,145.03,146.25,5741700
1/11/00,145.81,146.09,143.5,144.5,7503700
1/12/00,144.59,144.63,142.88,143.06,6907700
1/13/00,144.47,145.75,143.28,145,5158300
1/14/00,146.53,147.59,145.97,146.97,7437300
1/18/00,145.34,146.63,145.19,145.81,6488500
1/19/00,145.31,147,145,147,6157900
1/20/00,146.97,146.97,143.81,144.75,5800100
1/21/00,145.5,145.5,144.06,144.59,6395100
1/24/00,145.66,145.84,139.41,140.34,7896900
1/25/00,140.5,142,138.94,141.94,9942500
1/26/00,141,141.53,140.09,140.81,5158100
1/27/00,141.84,142.22,138.13,140.25,10922700
1/28/00,139.44,140.06,135.53,135.88,11916200
1/31/00,135.81,139.66,135,139.56,10768700
2/1/00,139.75,141.69,138.53,140.94,8419900
2/2/00,141.28,142.25,140.38,141.06,6205900
2/3/00,140.88,143.25,140,143.19,7997500
2/4/00,143.19,144,142.13,142.59,4925400
2/7/00,142.56,142.78,141.44,142.38,5845800
2/8/00,143.97,144.56,143.63,144.31,4936500
2/9/00,144.47,144.47,141.25,141.28,8511500
2/10/00,141.63,142.56,140.88,141.56,6690600
2/11/00,141.84,141.94,138.03,138.69,9849800
2/14/00,139.78,139.78,138.31,139.5,8528800
2/15/00,139.25,141.22,137.78,141.09,11078300
2/16/00,140.38,140.94,138.78,139,8845400
2/17/00,140.44,140.44,138.22,138.28,7584200
2/18/00,138.88,138.88,134.63,135.31,9409200
2/22/00,135,144.19,133.34,134.97,16415400
2/23/00,135.63,137.47,134.5,136.56,12119000
2/24/00,136.69,137.03,133.09,133.81,17375000
2/25/00,135.19,137.53,133.13,133.31,10559900
2/28/00,133.38,136.69,132.72,136.13,13397800
2/29/00,136.06,137.44,135.75,137.44,8242500
3/1/00,137.63,139,137.22,138.44,6868000
3/2/00,138.69,139.13,137.34,138.53,7600200
3/3/00,140.44,141.72,139.72,141.13,12770300
3/6/00,140.81,141.34,138.75,139.75,11967100
3/7/00,140,140.16,135.22,137.03,20062000
3/8/00,136.47,137.84,135.03,136.88,11808500
3/9/00,137.25,140.88,136.13,140.88,5500900
3/10/00,140.19,142,139.53,140.13,7924600
3/13/00,136.69,140.47,136.5,138.59,10540400
3/14/00,139.28,140.09,136.16,136.63,8263900
3/15/00,136.88,140.44,136.06,139.81,10300800
3/16/00,141.63,146.84,140.88,146.34,25601400
3/17/00,145.81,148,145.44,146.94,10272900
3/20/00,146.88,147.34,144.78,146.19,12502300
3/21/00,145.53,149.75,144.5,149.19,13612600
3/22/00,149.56,150.84,148.69,150.09,8260000
3/23/00,149.16,153.47,149.16,152.66,11654500
3/24/00,152.88,155.75,151.72,153.56,11462900
3/27/00,153.38,153.78,151.81,151.94,8798600
3/28/00,151.25,152.97,150.59,151.06,6334400
3/29/00,151.56,152.47,149.66,151.22,6747500
3/30/00,150.16,151.94,147.13,148.69,9491900
3/31/00,149.63,152.31,148.44,150.38,9249100
4/3/00,150.13,151.25,148.69,151.25,8508200
4/4/00,151.75,153,141.38,145.75,21060400
4/5/00,147.88,150.81,147.63,149.19,8227900
4/6/00,150.25,151.69,149,150.47,6378500
4/7/00,151.56,152.13,150.5,151.44,6023600
4/10/00,151.75,153.09,150.31,150.84,9624200
4/11/00,148.59,151.63,148.38,150.41,9006400
4/12/00,150.38,151.16,146.16,146.28,10779700
4/13/00,147.47,148.16,141.13,144.25,12226800
4/14/00,142.63,142.81,133.5,136,29604000
4/17/00,135.19,140.75,134.69,140.75,23918200
